,,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_accuracy,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed,weighted_failed
mistral,bspResults,0.0425,0.1288888888888887,0.1530612244897957,0.0942307692307689,0.085185185185185,0.4127272727272723,0.385454545454545,0.29636363636363583,0.3181818181818177,0.2872727272727268,0.356363636363636,0.48000000000000004,0.6166666666666665,0.4714285714285713,0.5375,0.6222222222222218,0.3799999999999999,0.42,0.4399999999999999,0.46,0.5299999999999999,0.4399999999999999
mistral,mfpResults,0.135,0.19333333333333308,0.1897959183673467,0.244230769230769,0.20740740740740699,0.29818181818181777,0.2818181818181815,0.2690909090909087,0.2836363636363633,0.3090909090909087,0.2890909090909087,0.7999999999999998,0.7333333333333331,0.6142857142857141,0.6125,0.6555555555555552,0.6399999999999996,0.6699999999999999,0.7099999999999996,0.7499999999999998,0.6599999999999998,0.6799999999999999
mpt,bspResults,0.165,0.1555555555555554,0.130612244897959,0.117307692307692,0.1574074074074071,0.2581818181818178,0.2072727272727267,0.1745454545454541,0.1436363636363632,0.2690909090909088,0.2018181818181814,0.16,0.11666666666666639,0.042857142857142705,0.0625,0.0777777777777777,0.04,0.04,0.03,0.03,0.08,0.05
mpt,mfpResults,0.1575,0.19333333333333308,0.2122448979591833,0.2749999999999997,0.2351851851851849,0.29818181818181777,0.2945454545454541,0.2781818181818178,0.2581818181818177,0.3018181818181814,0.3072727272727269,0.24,0.1666666666666665,0.2285714285714284,0.1625,0.1333333333333332,0.13,0.1,0.10999999999999989,0.08,0.16,0.16
phi,bspResults,0.155,0.11777777777777759,0.0836734693877549,0.0865384615384613,0.057407407407407296,0.0981818181818178,0.1090909090909088,0.0563636363636361,0.0981818181818179,0.1054545454545451,0.0636363636363633,0.8599999999999999,0.8999999999999997,0.9142857142857143,0.8875000000000001,0.9333333333333332,0.8799999999999999,0.8300000000000001,0.91,0.8300000000000001,0.8499999999999999,0.8999999999999998
phi,mfpResults,0.1625,0.20888888888888868,0.240816326530612,0.2769230769230767,0.257407407407407,0.31090909090909047,0.3072727272727269,0.3072727272727269,0.3072727272727269,0.3072727272727269,0.3072727272727269,0.86,0.8166666666666664,0.7999999999999998,0.775,0.7777777777777775,0.7399999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999,0.7499999999999999
vicuna,bspResults,0.085,0.0844444444444443,0.06734693877551,0.0365384615384614,0.0870370370370369,0.0890909090909088,0.0545454545454543,0.067272727272727,0.09272727272727249,0.0527272727272724,0.0545454545454543,0.64,0.633333333333333,0.5999999999999996,0.6125,0.5888888888888885,0.5399999999999999,0.5199999999999998,0.64,0.65,0.63,0.65
vicuna,mfpResults,0.0925,0.1333333333333332,0.0693877551020408,0.1038461538461538,0.14259259259259238,0.1963636363636361,0.23454545454545428,0.2563636363636361,0.287272727272727,0.2927272727272724,0.2927272727272724,0.4399999999999999,0.3499999999999997,0.19999999999999962,0.2,0.2666666666666665,0.3,0.31,0.37,0.3899999999999999,0.47,0.46999999999999986
yi,bspResults,0.065,0.0933333333333332,0.1428571428571426,0.10192307692307681,0.048148148148148,0.5981818181818176,0.5927272727272722,0.6472727272727268,0.6618181818181813,0.6381818181818177,0.1672727272727269,0.94,0.9166666666666665,0.8714285714285714,0.8875,0.911111111111111,0.2999999999999999,0.29,0.2899999999999999,0.28,0.2799999999999998,0.68
yi,mfpResults,0.0925,0.1444444444444442,0.2122448979591833,0.2653846153846151,0.2166666666666664,0.2618181818181814,0.276363636363636,0.3054545454545451,0.2709090909090906,0.2818181818181815,0.2945454545454542,0.92,0.883333333333333,0.8285714285714283,0.7875,0.833333333333333,0.7799999999999999,0.7899999999999999,0.7499999999999999,0.8,0.7899999999999998,0.7699999999999999
